         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57746.648259 19.569016      NaN  -23    18 c    0   1.11 210.91068 54.31167  9556.52  2463.52 4.17 3.92  78.9 -0.407    19.60 21.66 02a57746o0885c   524288  23.697196
57746.650355 19.367717      NaN   13    17 c    0   1.09 210.91068 54.31167   372.33  2267.13 4.15 4.02  85.8 -0.380    19.60 21.59 02a57746o0889c   524288  22.946832
57746.659628 19.302877      NaN    5    21 c    0   0.95 210.91068 54.31167  9592.66  2405.25 4.06 3.80  79.7 -0.417    19.52 21.38 02a57746o0907c        0  26.049129
57746.661195 19.401649      NaN   -2    21 c    0   0.97 210.91068 54.31167   361.33  2403.65 4.09 3.96  84.3 -0.381    19.40 21.16 02a57746o0910c   524288  26.049129
57746.669931 18.675237      NaN   -5    41 c    0   1.04 210.91068 54.31167   394.63  2328.05 4.32 4.15  80.1 -0.358    18.45 19.40 02a57746o0927c        0  43.801337
57778.570698 19.569016      NaN  -20    18 c    0   1.17 210.91068 54.31167  9106.71 10202.74 4.12 3.71 -88.1 -0.431    19.77 21.82 02a57778o0568c   524288  23.697196
57778.576629 19.351140      NaN  -21    22 c    0   0.96 210.91068 54.31167  7881.93   401.57 4.00 3.78  15.2 -0.454    19.75 21.80 02a57778o0578c   524288  26.861815
57778.584061 19.051202      NaN   26    20 c    0   0.92 210.91068 54.31167  9120.07 10244.21 4.09 3.68 -88.1 -0.432    19.77 21.81 02a57778o0592c        0  25.249893
57778.589437 19.115465      NaN   27    18 c    0   1.25 210.91068 54.31167  7894.20   442.47 3.94 3.77  18.2 -0.452    19.77 21.82 02a57778o0602c   524288  23.697196
57778.596885 19.271854      NaN   10    20 c    0   0.85 210.91068 54.31167  9062.70 10170.18 4.09 3.73  89.5 -0.433    19.78 21.83 02a57778o0616c        0  25.249893
57778.602290 19.142275      NaN   19    20 c    0   1.11 210.91068 54.31167  7851.68   367.11 3.95 3.73  15.2 -0.452    19.79 21.85 02a57778o0626c   524288  25.249893
57778.609876 19.510313      NaN  -11    19 c    0   1.03 210.91068 54.31167  9040.58 10291.36 4.04 3.68 -88.5 -0.432    19.80 21.86 02a57778o0640c   524288  24.465427
57778.615190 19.401649      NaN  -10    21 c    0   0.78 210.91068 54.31167  7831.10   490.79 3.84 3.67  17.8 -0.453    19.81 21.88 02a57778o0650c        0  26.049129
57778.622705 19.510313      NaN   -5    19 c    0   0.97 210.91068 54.31167  9086.06 10231.84 3.99 3.63 -89.0 -0.436    19.82 21.89 02a57778o0664c        0  24.465427
57778.628048 19.401649      NaN  -10    21 c    0   0.99 210.91068 54.31167  7865.22   431.70 3.99 3.81  15.4 -0.447    19.77 21.86 02a57778o0674c   524288  26.049129
57782.565439 19.631075      NaN  -26    17 c    0   1.05 210.91068 54.31167  8317.82  1401.40 3.86 3.75  84.2 -0.416    19.82 21.96 02a57782o0717c        0  22.946832
